ASIN,Title,Description,ImageURL,Rating,Verified,ReviewTime,Review,Summary,Domestic Shipping,International Shipping,Sentiment
B00837YY18,"Proraso Shaving Soap in a Bowl, Refreshing and Toning, 5.2 oz","Proraso Shaving Soap, Refreshing and Toning formula, is formulated for any skin or beard type and provides a rich, creamy lather to prepare skin for a close shave without nicks and cuts. Eucalyptus purifies and tones while menthol adds a refreshing, cooling sensation. Made with a special ""hot soap"" process, it\'s left to mature in small batches for 10 days, during which the moisture evaporates, and the product becomes solid and more concentrated -- perfect for a professional-quality shave with a brush. Cruelty-free, with 91% of ingredients of natural origins, and of course, theres no parabens, phthalates, silicones, mineral oils, artificial colors or sodium laurel sulfate. Originating in Italy, Proraso has been helping men achieve a smooth shave since 1948. Over the years, our line of men\'s shaving products has become a staple of Italian culture, and evolved to feature natural-based formulations without mineral oils or artificial colors. Nourishing botanical extracts and natural oils protect the skin before, during and after shaving for an irritation-free experience.', '', 'You&#039;ll notice that our soap may take a bit more water than you&#039;re used to, in order to achieve the ideal lather. That&#039;s actually one of our biggest points of difference -- the result of its manufacturing process -- and what makes Proraso soap so special. Because it has a much lower moisture content than other shave soaps, youll need more water on your shaving brush (we&#039;d suggest soaking it for a few minutes prior to lathering), and perhaps just a touch more patience at first, to achieve that signature Proraso lather: rich, dense, elastic, and one that doesnt dry out. Once you do, youll really see the difference (and why its become such a staple of shaving culture over the last 6 decades).', '<img alt="""" src=""https://images-na.ssl-images-amazon.com/images/G/01/aplusautomation/vendorimages/87f262ab-3bf0-48d8-9aa3-54c9e4b5bc19.png._CB272368817__SL220__.png"">', '<img alt="""" src=""https://images-na.ssl-images-amazon.com/images/G/01/aplusautomation/vendorimages/44e37be2-2e5a-4d6e-9ee6-9ed237bc8018.png._CB272368772__SL220__.png"">', '<img alt="""" src=""https://images-na.ssl-images-amazon.com/images/G/01/aplusautomation/vendorimages/0318bd0e-6422-484a-92bf-1467348035dc.png._CB272368797__SL220__.png"">', '<img alt="""" src=""https://images-na.ssl-images-amazon.com/images/G/01/aplusautomation/vendorimages/0ca5e5f0-2ac9-4c85-b34d-5e855eadc913.png._CB272369518__SL220__.png"">', '<img alt="""" src=""https://images-na.ssl-images-amazon.com/images/G/01/aplusautomation/vendorimages/418aea90-1bc0-49c8-bf50-923480cca268.png._CB272368033__SL220__.png"">', '<img alt="""" src=""https://images-na.ssl-images-amazon.com/images/G/01/aplusautomation/vendorimages/f7624cb7-05c3-4a88-a1b9-0b2579258dab.png._CB272368057__SL220__.png"">', '<img alt="""" src=""https://images-na.ssl-images-amazon.com/images/G/01/aplusautomation/vendorimages/418aea90-1bc0-49c8-bf50-923480cca268.png._CB272368033__SL220__.png"">', '<img alt="""" src=""https://m.media-amazon.com/images/S/aplus-media/vc/b826d55f-90b2-440f-aa38-21ffca0124bf._SL220__.png"">', '<img alt="""" src=""https://m.media-amazon.com/images/S/aplus-media/vc/f3e86d43-4aa3-4e2d-a305-aa8c0ebb9dee._SL220__.png"">', '<img alt="""" src=""https://m.media-amazon.com/images/S/aplus-media/vc/3e3bc852-8a9b-4773-9e58-c080fa1b0dc7._SL220__.png"">', '<img alt="""" src=""https://m.media-amazon.com/images/S/aplus-media/vc/226de1cf-3c9b-4f8b-8bd5-18d9be733f71._SL220__.png"">', '",https://images-na.ssl-images-amazon.com/images/I/51Cov5myDCL.jpg,5.0,True,2015-04-18,This is all it claims to be. A very good shave that leaves your face feeling refreshed.,A good & refreshing shave,Item can be shipped within U.S.,This item can be shipped to select countries outside of the U.S.,1.0
B007P0MO2U,SEXYHAIR Big Powder Play Volumizing &amp; Texturizing Powder,"Can re-activate with a quick scrunching motion, just give it a quick tousle and your style bounces back to life.', 'Sexy Hair was created in Los Angeles, CA in 1998 and is now a global brand in over 60 countries. Although best known for its big red can of hairspray, Sexy Hair has a full line of care and styling products for every hair type.",https://images-na.ssl-images-amazon.com/images/I/41TlQMTxMaL.jpg,5.0,True,2015-03-20,I use this daily and it helps give my thin hair a little boost.,Five Stars,,,1.0
B000ASDGK8,BaBylissPRO Ceramix Xtreme Dryer,"2000 Watt ceramic technology dryer with concentrator nozzle. Professional AC motor for long life and power with rubberized soft touch housing.', 'BaBylissPRO is a world leader in professional styling tools', 'Power meets technology in this dryer - the ultimate professional! This powerful 2000-watt dryer features ceramic technology to produce extra gentle, even far-infrared heat that protects hair from damage. Engineered with extra-high wattage and a professional A/C motor that deliver the superb performance on which BaByliss PRO has built its reputation. With four temperature settings and an 8mm concentrator nozzle that can be attached when needed, this dryer can do it all.', '- Ionic and Porcelain Ceramic technology.', '- 2000 watts.', '- 6 Heat/speed settings.', '- Cold shot button.', '- Concentrator nozzle.', '- Removable filter.",https://images-na.ssl-images-amazon.com/images/I/31DwQDoI5tL.jpg,5.0,True,2015-06-30,"Love this blow dryer! It's much more powerful than my last one that was an 1875 watt dryer. My hair is thicker and about to the middle of my back and it now only takes me about 5 min to dry my hair vs the 10-15 with my old dryer. For me, who's always running late, I need those extra minutes. Only time will tell as far as how durable it is. My last dryer lasted almost 20 years. I've only had this one 2 months but seems very well made and I feel well worth the money I spent.",Worth the buy,,,1.0
B0002ZW5UQ,TOPPIK Hair Building Fibers,"TOPPIK Hair Building Fibers instantly give you the look of thicker, fuller hair. Made of natural, colored Keratin protein that is naturally statically charged, TOPPIK Fibers intertwine with your existing hair for a completely natural look. TOPPIK resists wind, rain and perspiration but removes easily with shampoo. <br /><br />Ingredients: Keratin, Ammonium chloride, Silica, Phenoxyethanol, Chlorphenesin, [+/-: Orange 4 (CI 15510), Yellow 6 (CI 15985), Red 33 (CI 17200), Yellow 5 (CI 19140), Green 3 (CI 42053), Blue 1 (CI 42090), Red 22 (CI 45380), Green 6 (CI 61565), Green 5 (CI 61570)]', '', '",https://images-na.ssl-images-amazon.com/images/I/41HuGvGAVEL.jpg,5.0,True,2015-08-26,"Great stuff, has really helped my confidence over the past few years. It does itch a little bit sometimes but usually if I'm sweating a lot. Very small packet but it lasts a long long time.","Great stuff, has really helped my confidence over the ...",Item can be shipped within U.S.,This item can be shipped to select countries outside of the U.S.,1.0
B000PZA2KS,OPI Nail Envy Nail Strengthener,"Strengthener helps to repair sensitive and peeling nails.', 'Strong, beautiful, nails are everyones dream - a dream that can become reality with the complete range of OPI Nail Treatments.', 'Welcome to the colorful world of OPI. At our core is this simple idea: we exist to transform the world with color because it has the power to change behaviors, redefine culture, and improve our world. Founded in 1981, OPI has revolutionized the nail industry with our iconic bottles, superior product quality, and unforgettable and fun shade names. Whether you&#039;re looking for a shade like &#039;Bubble Bath or more of a &#039;Lincoln Park After Dark&#039; fan, we believe theres no moment in life that color cant tackle. Color is the answer.', 'Weak, damaged nails are no match for OPI Nail Envy! This line offers targeted nail strengthener treatments with a variety of effective formulas, including Original, Matte Original, Sensitive &amp; Peeling, Soft &amp; Thin, Dry &amp; Brittle, and Maintenance.', 'Thanks to added calcium and protein, OPI Nail Envy builds manicure-ready nails that are harder, longer and stronger than ever before. All Nail Envy products can be used as a stand-alone treatment or as a base coat alternative.', 'With a formula renowned for its ability to strengthen natural nails, OPI Nail Envy also comes available in four neutral shades! Three iconic, classic shades including Bubble Bath, plus one exclusive hue add a tint of color to nails while hydrolyzed wheat protein and calcium work to make nails harder, longer and stronger. Get ready for your nails to be envied by all.",https://images-na.ssl-images-amazon.com/images/I/41yf143h3cL.jpg,5.0,True,2015-02-24,Works great! I highly recommend it!,Five Stars,,,1.0
B0002ZW5UQ,TOPPIK Hair Building Fibers,"TOPPIK Hair Building Fibers instantly give you the look of thicker, fuller hair. Made of natural, colored Keratin protein that is naturally statically charged, TOPPIK Fibers intertwine with your existing hair for a completely natural look. TOPPIK resists wind, rain and perspiration but removes easily with shampoo. <br /><br />Ingredients: Keratin, Ammonium chloride, Silica, Phenoxyethanol, Chlorphenesin, [+/-: Orange 4 (CI 15510), Yellow 6 (CI 15985), Red 33 (CI 17200), Yellow 5 (CI 19140), Green 3 (CI 42053), Blue 1 (CI 42090), Red 22 (CI 45380), Green 6 (CI 61565), Green 5 (CI 61570)]', '', '",https://images-na.ssl-images-amazon.com/images/I/41HuGvGAVEL.jpg,5.0,True,2015-03-23,Love this product great for covering bald spots.,Five Stars,Item can be shipped within U.S.,This item can be shipped to select countries outside of the U.S.,1.0
B0002ZW5UQ,TOPPIK Hair Building Fibers,"TOPPIK Hair Building Fibers instantly give you the look of thicker, fuller hair. Made of natural, colored Keratin protein that is naturally statically charged, TOPPIK Fibers intertwine with your existing hair for a completely natural look. TOPPIK resists wind, rain and perspiration but removes easily with shampoo. <br /><br />Ingredients: Keratin, Ammonium chloride, Silica, Phenoxyethanol, Chlorphenesin, [+/-: Orange 4 (CI 15510), Yellow 6 (CI 15985), Red 33 (CI 17200), Yellow 5 (CI 19140), Green 3 (CI 42053), Blue 1 (CI 42090), Red 22 (CI 45380), Green 6 (CI 61565), Green 5 (CI 61570)]', '', '",https://images-na.ssl-images-amazon.com/images/I/41HuGvGAVEL.jpg,5.0,True,2015-02-22,The white is great for platinum blond hair.,Five Stars,Item can be shipped within U.S.,This item can be shipped to select countries outside of the U.S.,1.0
B001T0HHDS,BaBylissPRO Nano Titanium Dryer,"BaBylissPRO Nano Titanium 2000W Hair Dryer', 'BaBylissPRO is a world leader in professional styling tools', 'A stellar combination of power, speed and design offers both heavy-duty 2000-watt performance and lightweight ergonomic handling. Six heat and speed settings, a cool shot button and a concentrator nozzle provide a wide range of styling options, and the removable filter makes cleaning easy.', 'Nano Titanium technology.', '2000 watts.', 'Ionic.', '6 heat/speed settings.', 'Removable filter/stand.",https://images-na.ssl-images-amazon.com/images/I/41eNZthbwML.jpg,1.0,True,2015-11-01,This fried my hair when used on the high setting and took forever to dry when used on the low setting.  I'm going back to my old cheap hairdryer.,This fried my hair when used on the high setting ...,,,-1.0
B0007M11XQ,"Proraso Shaving Cream, Refreshing and Toning, 5.2 oz","The original Proraso shaving classic, this refreshing and toning Shaving Soap is formulated for any beard on any man. This creamy soap produces a thick, elastic lather and is enriched with natural ingredients that make it particularly concentrated and rich. Made with a special ""hot soap"" process, it\'s left to mature in small batches for 3 days, producing an extremely thick and creamy soap that products a soft, rich lather. Eucalyptus Oil tones and purifies your facial hair and skin, Menthol helps refresh and revitalize, and Glycerin helps the blade glide smoothly and reduce razor burn and rashes. Cruelty-free, with 91% of ingredients of natural origins, and of course, theres no parabens, phthalates, silicones, mineral oils, artificial colors or sodium laurel sulfate. Originating in Italy, Proraso has been innovating professional highest-quality products in the shaving world for generations, and has evolved to become a staple of Italian culture. From the first product -- Pre-Shave Cream -- in 1948, to now, the Martelli family principles hold true: to create professional, quality products that deliver a pleasurable and impeccable shave, in the barbershop and at home.', '', 'Short on time? Apply your favorite Proraso Pre-Shave Cream to your damp face, for optimal results. If using a shaving brush, run it under hot running water for about 30 seconds (if you don&#039;t have time to soak it). Squeeze about 2 centimeter of the Shaving Cream onto your brush, dampen face with warm water, and work the brush into your scruff/stubble. You should be able to achieve an excellent lather in about a minute.', 'If using your hands, work cream and water together between the palm of your hands until suds begin to form. Apply mixture into your stubble using your fingers, massaging in circular movements until a lather forms. This method also works well if youre shaving in the shower. Shave and rinse, following with your favorite Proraso After Shave Balm or Lotion.', '<img alt="""" src=""https://m.media-amazon.com/images/S/aplus-media/mg/1f8dc212-b326-426f-ad67-d55012b95e28._SL220__.png"">', '<img alt="""" src=""https://m.media-amazon.com/images/S/aplus-media/mg/c673f034-3b1f-4992-9e16-cea2aaac958a._SL220__.png"">', '<img alt="""" src=""https://m.media-amazon.com/images/S/aplus-media/mg/f2498900-af97-43d7-99a9-8e2d0d7fd735._SL220__.png"">', '<img alt="""" src=""https://m.media-amazon.com/images/S/aplus-media/vc/9c42a36c-2b02-43bb-865e-49906c4720ac._SL220__.jpg"">', '<img alt="""" src=""https://m.media-amazon.com/images/S/aplus-media/mg/2fb1c49e-6064-4a93-8b78-c6ca030b77a1._SL220__.png"">', '<img alt="""" src=""https://m.media-amazon.com/images/S/aplus-media/mg/4270214e-0e80-4837-8f85-a07a64b291cc._SL220__.png"">', '<img alt="""" src=""https://m.media-amazon.com/images/S/aplus-media/mg/b9fca29b-65be-4e02-b022-4279ad9e3b24._SL220__.png"">', '<img alt="""" src=""https://m.media-amazon.com/images/S/aplus-media/mg/ee01f0a9-2380-4b92-9184-deb321f3ca36._SL220__.png"">', '<img alt="""" src=""https://m.media-amazon.com/images/S/aplus-media/mg/6dc2540e-ae7d-4799-94e2-4defac670e0c._SL220__.png"">', '<img alt="""" src=""https://m.media-amazon.com/images/S/aplus-media/mg/9324ee51-e366-4a31-9f5c-ce192d640d15._SL220__.png"">', '<img alt="""" src=""https://m.media-amazon.com/images/S/aplus-media/vc/f90caec2-c150-4fa0-b5c2-73ba1eac7a9d._SL220__.png"">', '",https://images-na.ssl-images-amazon.com/images/I/41Ml9RDU82L.jpg,5.0,True,2015-05-06,love this stuff lathers great smooth comfortable shaves,Five Stars,Item can be shipped within U.S.,This item can be shipped to select countries outside of the U.S.,1.0
B00EXW53GC,Grande Cosmetics GrandeLASH-MD,"Created with a proprietary blend of vitamins, antioxidants, and amino acids, this cult favorite lash enhancing serum promotes longer and thicker, healthier looking lashes. 18x Award Winner! 2018 New Beauty Winner<br><br><b>Benefits</b><br>Promote naturally longer, thicker looking lashes in as little as 4-6 weeks with full results in 3 months. <br><br><b>Suggested Use</b><br>Apply using a single stroke on your eyelid like a liquid eyeliner. Use once daily in the evening before bed. Allow 1-2 minutes for the serum to dry. <br></br> Ingredients: Aqua, Glycerol, Glycosaminoglycans, Hyaluronic Acid, Butanamide, Leuconostoc/Radish Root Ferment Filtrate, Caprylyl Glycol, Sodium Benzoate, 2-Hydroxypropanoic Acid, Sodium PCA, Panax Ginseng Root Extract, L - Proline, Acathopanax Senticosus (Eleuthero) Root Extract, Hydrolyzed Yeast Extract, Chamomilla Recutita Flower Extract, Arctostaphylos Uva URSI Extract, Actiphyte Of Chamomile GL, Phenoxyethanol, Tocopheryl Acetate, Ethylhexylglycerin, Propylene Glycol, Hydroxyethylcellulose, Sorbitan, Gluconolactone, Triethanolamine, D-Glucitol, Leucidal Liquid, Geogard Ultra, Cloprostenol isopropyl ester <br></br>L-Proline: An amino acid essential to healthy, fortified lashes. <br></br>Hyaluronic Acid: Conditions and protects to prevent breakage and brings hydration to dry, brittle, or damaged lashes. <br></br>Botanical Extract Blend: A powerful combination of nutrient and antioxidant rich compounds derived from natural sources (ginseng root, chamomile flowers, and bearberry leaves); strengthens the lash follicle. <br></br>Glycosaminoglycans: Locks in moisture and boosts lash resiliency and luster.', 'Grande Cosmetics uses clinically proven formulas and natural ingredients to create peptide-infused, care-free application cosmetics with instantly beautiful results and long term benefits.', 'Start using treatment.', 'With continued use, see initial results.', 'See final results. Hello beautiful lashes!', '', 'Consumer Research Report &amp; Williams, MD, Ophthalmologist: 3 February 2017', 'PETA Certified: 20 May 2018', 'Do not get into the eye. Do not use if you are pregnant, nursing, under the age of 18 or undergoing chemotherapy. Keep out of reach of children. If redness or irritation occur, stop using product.",https://images-na.ssl-images-amazon.com/images/I/31yholA4-OL.jpg,5.0,True,2015-08-19,I've been asked if I have eyelash extensions,Five Stars,"Currently, item can be shipped only within the U.S. and to APO/FPO addresses. For APO/FPO shipments, please check with the manufacturer regarding warranty and support issues.",This item can be shipped to select countries outside of the U.S.,1.0
